PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Rank
83.1,117.9,6.9,28.7,33.7,26.5,6.9,49.5,59.8,0,0,3.1,209,Severe
79.8,131.8,13.9,28.7,41.1,35.5,13.9,48.5,97.1,0,0,4.8,328,Hazardous
94.5,165.1,24.4,32.7,52.6,53.3,24.4,67.4,111.3,0.2,0,7.7,514,Out of Range
136,215.7,43.5,42.1,84.6,42.9,43.5,75.2,102.7,0.4,0,25.9,782,Out of Range
178.3,241.4,54.6,35.3,72.8,48.5,54.6,55,107.4,0.5,0.1,35.6,914,Out of Range
139.7,232.6,30.6,28.4,56.7,65,30.6,33.8,73.6,0.2,0,11.9,660,Out of Range
80.7,203.9,2.4,22.8,24,28.1,2.4,25.7,47.3,0,0,0,294,Severe
58.4,102.1,2.6,21.4,23.3,24.9,2.6,32.7,53.5,0,0,0,149,Very Unhealthy
79.3,147,1.2,26.9,26.8,21.1,1.2,67.4,59.3,0,0,0,190,Very Unhealthy
88.7,132.8,7.3,31.3,37.7,38,7.3,80.1,44.8,0,0,0,247,Severe
74.3,194.9,8.9,27.3,33.4,41.7,8.9,54.3,47.4,0,0,0.3,379,Hazardous
113.9,236.4,4.3,24.3,26.9,24.2,4.3,48.7,39.9,0,0,3.6,341,Hazardous
105.4,205.6,1.4,18.2,18.8,16.3,1.4,35.9,56.2,0,0,3.3,256,Severe
66.5,239.9,6.3,23.8,28.2,-13.6,6.3,66.6,53.1,9.7,9.6,16.5,388,Hazardous
65,96,14.2,30.1,44.2,54.7,14.2,65.9,31.9,7.7,17.5,2.5,288,Severe
103.4,216.5,18.2,39.6,57.3,68.9,18.2,80.4,40.1,11.3,24.4,3.4,510,Out of Range
177.3,260.4,37.5,47.6,77.9,123.7,37.5,99.7,36.5,17,52.7,7,761,Out of Range
113.3,227.7,15.6,30.5,44.9,65.5,15.6,69.7,33.8,10.5,28.5,3.2,475,Hazardous
99.7,224.9,19.9,28.1,47.3,72.4,19.9,73.2,30.6,10.3,31.3,4,536,Out of Range
80.6,205.7,16,21,35.7,63.5,16,54.7,36.2,8.1,18.8,2.5,479,Hazardous
100.8,294.3,16.2,25.9,41.9,64.3,16.2,43.1,37.4,10,32.4,4,592,Out of Range
108,229.8,11.3,30.1,40.5,51.2,11.3,84.9,31.9,9.2,24,3.3,427,Hazardous
140.3,155.8,33.8,36.1,68.9,109.3,33.8,101.5,41,20.1,43.5,7.5,588,Out of Range
240,320.7,62,46.3,106.9,170.7,62,84.9,33.6,22.1,54,15.4,1141,Out of Range
143,113.2,45.5,48.2,92.3,123.5,45.5,63,34.8,7.4,22.4,8.5,669,Out of Range
238.4,322.2,77.7,55.1,131.3,200.7,77.7,89.1,37.3,50.6,163.6,28.5,1247,Out of Range
118.7,228.4,12.6,32,42.6,56.3,12.6,61.5,38.8,16.9,46.5,6.1,411,Hazardous
53,194.7,2.2,10.5,10.4,25.8,2.2,32.8,67.3,3.9,11.4,0.8,292,Severe
67.1,130.9,17.6,28.4,31.4,26.3,2.2,14.2,34.4,3.3,8.4,2.4,164.7,Very Unhealthy
67.1,130.9,17.6,28.4,31.4,26.3,2.2,14.2,34.4,3.3,8.4,2.4,164.7,Very Unhealthy
67.1,130.9,17.6,28.4,31.4,26.3,2.2,14.2,34.4,3.3,8.4,2.4,164.7,Very Unhealthy
61.1,111.7,3.6,16.8,20.9,28.1,3.6,28.4,30.5,2.7,1.6,1.3,176.4,Very Unhealthy
60.8,70.1,9.1,18.2,27.3,45,9.1,29.5,34.8,2.1,0.6,0.2,189,Very Unhealthy
91.8,188.1,13,28.7,40.8,51.2,13,39.7,38.5,2.7,1.7,2.3,408,Hazardous
93.9,122.7,18.2,29.4,47,68,18.2,62.8,46.8,5.2,2.6,1.6,383,Hazardous
173,146,48.4,42.3,90.7,149.4,48.4,78.8,59.4,9.7,10,4.1,780,Out of Range
67.1,130.9,17.6,28.4,31.4,26.3,2.2,14.2,34.4,3.3,8.4,2.4,164.7,Very Unhealthy
105.5,154.6,2.5,16.1,18.7,46.6,2.5,29.3,69.9,17.8,5.8,0.4,231,Severe
71.6,127.5,3.5,16.8,20.3,31.5,3.5,30.3,57.2,4,8,0.6,190,Very Unhealthy
119.8,173.8,4.1,24.1,27.9,36.6,4.1,50.4,50.5,4.9,12.2,1.4,233,Severe
106.7,197.9,5.4,25.6,30.5,37.6,5.4,38.9,60.2,5.6,14.2,1.7,297,Severe
118.5,238.1,4.1,28.9,31.8,34.4,4.1,54.2,53.6,7.9,21.3,2.8,330,Hazardous
106,172.9,4.3,27.3,30.5,38.2,4.3,70.3,40.9,9.5,15.5,1.7,252,Severe
97.3,175.4,3.7,21.6,24.6,30.3,3.7,64.4,45.7,5.6,15,2.3,244,Severe
83.9,142.3,6.4,25,30.8,36.1,6.4,67.5,34.9,8.2,21.5,3.1,234,Severe
49.5,139.9,3.1,14.2,16.2,27.6,3.1,48.3,38,4.3,11.3,1.1,219,Severe
30.8,71.7,2.7,14.1,17,22.8,2.7,43.6,54.8,3.6,9.4,0.8,118,Very Unhealthy
50.3,130.6,5.3,29.8,33.3,30.3,5.3,59.2,45.4,5.5,15.1,1.7,231,Severe
57.7,8.7,25.4,29.5,54.8,77.5,25.4,58.3,52.9,9.6,32.1,4.5,286,Severe
105.1,250.6,46.2,37.1,82.2,124.3,46.2,53.6,45.7,20.9,75.4,12.7,883,Out of Range
94.1,329.5,22.1,36.5,57.5,71.6,22.1,61.3,46.8,17.5,52,7.9,720,Out of Range
111.9,250.5,22.3,43.3,64.5,70.2,22.3,66.4,50.6,18,56.9,8.9,570,Out of Range
108.6,225.8,25.4,39.3,63,81.7,25.4,75.8,46.7,15.8,48.4,7.1,589,Out of Range
130.8,231.3,45.6,41,85.8,129.5,45.6,65.8,41.6,24.1,85.3,12.6,818,Out of Range
143.6,339.8,27.3,31.2,57.2,88.1,27.3,51,35.4,18.6,72.8,10.2,737,Out of Range
165.1,260.4,23.8,34.5,57.7,95.2,23.8,64.3,43.8,29.1,64,8.5,585,Out of Range
166.9,342.5,17.9,43.3,60.1,68.7,17.9,79.7,53.4,24.1,67.4,9.8,616,Out of Range
147.4,312,6.4,35.8,40.2,44.2,6.4,46.9,17.9,14.2,41.9,5.7,437,Hazardous
158.3,221.3,5.9,27.9,32.7,45.8,5.9,142.4,38.5,13.7,21.2,2.8,321,Hazardous
237.8,301,5,21.8,25.4,57,5,96.3,39.8,8.7,15,1.3,372,Hazardous
133.4,244.2,3.9,18,21,40.9,3.9,57.3,39.7,5.8,11.7,1,339,Hazardous
133.3,225.7,6.5,20,26.2,46.7,6.5,51.6,59,9.9,21.1,2.3,339,Hazardous
96,217.2,3.8,20.1,23.5,34.6,3.8,62.4,46.6,7.5,13.4,1.7,324,Hazardous
77.7,126.7,5.2,18.9,23.1,37.4,5.2,100.5,27.1,9.5,11.8,1.6,222,Severe
53.1,97.7,4.2,13.8,17.5,34.4,4.2,40.4,21.8,4.5,6.9,0.4,169,Very Unhealthy
63.1,122.2,5.6,15.5,18.5,41,5.6,38.2,4.7,5.2,8.2,0.7,220,Severe
156.8,235.7,3.9,16.7,21,44.1,3.9,26.3,37.1,3.9,10.8,1,300.3,Hazardous
121,219.3,4.2,20.9,25,39.6,4.2,35.5,35.7,6.1,15.9,1.7,303,Hazardous
138.6,220.7,5.7,25.5,30.7,43.4,5.7,87.4,29.8,11.3,24.7,3.1,314,Hazardous
144.4,197.2,15.8,30.7,46.1,63,15.8,66.4,27.3,17.2,49.6,7.7,378,Hazardous
85,290,3.3,26.7,27.4,25.5,3.3,59.2,35.9,7.6,29.2,4.1,415,Hazardous
134.6,200,5.9,26.3,28.7,46.8,5.9,34.5,7,0,0,0,294.4,Severe
61.1,83.5,3.5,14,17.6,32,3.5,8.1,19.5,0,0,0,126,Very Unhealthy
39.4,87.1,5.3,19.6,24.7,32,5.3,17.7,31.3,0,0,0,175,Very Unhealthy
111.9,165.4,3.9,22.5,25.2,37.7,3.9,15.8,31.2,0,0,0,226,Severe
58.4,148.7,5.7,21.7,27.7,17.9,5.7,25.9,43.9,2.2,10.5,5.4,244,Severe
95.4,128,18,26.2,44.3,-0.6,18,13.6,41.6,1.2,3.3,20.8,315,Hazardous
141.3,270.8,30.8,36.9,66.5,10.1,30.8,41.1,37.7,0.7,0,28.1,678,Out of Range
106.7,385.4,19.9,46.4,54.8,22.6,19.9,31.6,48.5,1.7,0,16,774,Out of Range
109.5,205.1,4.3,20.3,22.9,15.5,4.3,46.6,31.3,0.1,0,6.2,285,Severe
126,209.2,7,20.2,26.8,22.1,7,79.6,28.7,0.2,0,6.4,321,Hazardous
71.2,141.6,16.7,21.3,37.6,46,16.7,50.1,28.4,1.4,23.5,6.1,358,Hazardous
97.9,226.7,6.3,18,23.5,32.8,6.3,13.9,34.2,0.2,4.9,3,357,Hazardous
63.4,124.3,3.4,13.3,15.4,25.6,3.4,24.8,43.6,0,0,1.2,189,Very Unhealthy
75.3,158.6,3.4,14.3,18,18.7,3.4,76.1,60.7,0,0,2.3,238.8,Severe
80.9,129.6,5.7,18.6,24.2,24.4,5.7,65.4,22.8,0.1,0.1,3.5,214,Severe
103.3,171.9,4.6,19.8,23.7,26.4,4.6,85.4,22.2,0.1,1.2,2.6,253,Severe
107.5,159.7,5.3,15.6,19.7,29.7,5.3,74.4,10.1,0.1,0.2,2.9,239,Severe
161.1,281.8,3.1,14.8,16.1,35.6,3.1,118.4,59.7,0,2.6,0,378,Hazardous
102.6,174,3.9,12.7,16.8,34,3.9,41.9,26.9,0,6.4,0.8,240.6,Severe
138.4,212.4,5.1,16.7,21.6,34.4,5.1,77.7,27.2,0,0.9,2,300,Severe
129,211.2,5.7,14.9,19.7,37.4,5.7,78.3,18.7,0,0,1.5,317,Hazardous
96.7,163.4,4.7,15.9,20.5,27.4,4.7,39.4,11.8,0,0,3.1,240,Severe
126.8,154.1,15.7,23.9,39.7,30.3,15.7,93.2,36.7,0.2,0,10,344,Hazardous
106.2,264.1,13.1,23,35.1,20.9,13.1,66,81.6,0.3,0,9.7,503,Out of Range
86.3,231.6,2.7,10.5,10.9,-17.7,2.7,50.1,90.5,0.5,0.2,12.8,308,Hazardous
84,175.1,2.7,0.1,2.8,-1.7,2.7,34.1,69.6,0.3,0.1,9,227,Severe
65.1,93.6,3.1,4.6,6.8,10.8,3.1,22.3,32.3,0.2,0,5.8,120,Very Unhealthy
51,76.6,6.2,20.5,26.2,31.5,6.2,15.5,31.4,0,0,1.3,158,Very Unhealthy
38.7,68.2,8,19.3,26.6,32.1,8,20.1,25.7,0,0,2.1,177,Very Unhealthy
61.1,77.8,9.9,17.8,27.2,34.1,9.9,39.7,25.9,0,0,3.5,201,Severe
58.4,71.4,10.7,17.2,27.4,42.8,10.7,54.7,18.9,0,0,1.4,211,Severe
61.5,75.5,11.4,16.7,27.6,41.7,11.4,42.7,18.2,0,0,2.6,221,Severe
65.4,77.9,12.3,16.1,27.9,46,12.3,28,22.4,0,0,2.3,233,Severe
100.9,195.5,20.4,18.9,37.8,57.1,20.4,31.9,22.8,4.9,19.3,8.2,481,Hazardous
97.5,242.4,5.3,30,33.6,38.6,5.3,36.1,16.3,10.6,34.9,3.9,352,Hazardous
